	astro|GSM1901309|8yo_ctx	astro|GSM1901310|13yo_ctx	astro|GSM1901314|35yo_ctx	astro|GSM1901317|53yo_ctx	myeloid|GSM1901339|45yo_ctx	myeloid|GSM1901340|51yo_ctx	myeloid|GSM1901341|63_yo_ctx	oligo|GSM1901334|22yo_ctx	oligo|GSM1901335|63yo_ctx_A	oligo|GSM1901337|47yo_ctx	dopamine|GSM2027430|VTA	dopamine|GSM2027431|VTA	dopamine|GSM2027423|SNc	motor|88_Control_GSM1977034	motor|GSM2027414|spinal	motor|Spinal_motor_neuron_control_rep5_GSM3615504
ENSG00000205794.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205795.4	3.79	1.51	2.35	0.74	0	0	0	0	0	0.16	3	0	5	1	0	0
ENSG00000205808.5	5.63	3.08	5.27	5.27	1.36	1.67	1.32	0.82	1.64	2.82	14	89	41	174	7.32	79
ENSG00000205809.9	0	0.45	0.42	1.74	0	0	0.59	4.92	0.22	32.46	0	43.04	3	0	0	0
ENSG00000205810.8	0	0.26	0.59	0.59	0	0	0	5.78	2.06	9.69	0	0	0	0	0	0
ENSG00000205822.10	0	0	0	0	0	0	0	1.25	0	1.52	0	2	1	9	0	0
ENSG00000205830.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205832.7	0.07	0.04	0.23	0.15	0	0	0	0	0.04	0	0	0	0	0	0	0
ENSG00000205835.8	0	0	0	0.09	0	0	1.1	0	0	0	0	0	2	3	0	0
ENSG00000205837.7	0	0.78	0	0	0	1.29	0	0	0	0	0	0	0	0	0	0
ENSG00000205838.14	1.76	1.16	2.46	0.92	0	0	0	0.35	2.71	0.13	0	1	1	0	0	0
ENSG00000205846.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205847.6	0	0	0	0	0	0.26	0.4	0	0	0	0	0	0	0	0	0
ENSG00000205853.11	0.99	4.45	5.3	1.18	11.35	2	4.23	0	2.29	1.71	0	3.46	0	0	0	0
ENSG00000205856.4	0	0	0	0	0	0.4	0.12	0	0	0	13	0	27	0	0	0
ENSG00000205857.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205858.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205861.12	2.25	0	0	0	0	0.65	0	0	2.69	0	0	0	6	0	0	0
ENSG00000205863.10	0	0	0	0.83	0	0	0.25	0.35	0.09	0	0	0	0	1.47	0	0
ENSG00000205864.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205865.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205866.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205867.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205869.2	0	0	0	0	0	0	0	0	0	0	0	0	5.42	0	0	0
ENSG00000205871.5	0	0	0	0	0	0	0	0	0	0	1.36	1.34	0	1.12	0	1
ENSG00000205879.5	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205882.8	0	0	0.33	0	0	0	0	0	0	0.94	0	0	0	0	0	0
ENSG00000205883.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205884.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205885.7	0.3	0.09	0.06	0.05	0.5	0.13	1.09	0.11	0	0.08	0	0	0	6	1	12
ENSG00000205890.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000205897.5	0	0.76	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205898.3	0	0.36	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
ENSG00000205899.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205903.7	1.52	0.07	1.78	0.08	0.13	0.54	0.91	1.75	0.51	0.06	7	18	29	12	9	10
ENSG00000205913.7	3.12	1.35	2.42	0.85	0.6	0	0.84	0	0.32	0	1	0	0	0	0	0
ENSG00000205916.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205918.9	1.94	1.51	0.39	1.45	3.39	1.83	1.85	3.29	0.87	2.49	0	0	2.57	8.36	0	0
ENSG00000205922.4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
ENSG00000205923.3	0	0.75	0.9	0	0	0.52	0.6	0	0	0	16	23.92	61.65	35.29	5.28	4
ENSG00000205927.5	7.44	7.76	14.31	9.07	0	0.75	1.5	42.89	40.73	54.98	3	4	14	8	0	0
ENSG00000205929.11	0.39	1.9	1.83	1.35	0.24	0	0	0	0.23	0.94	6	0	8	2	0	0
ENSG00000205930.10	3.88	4.37	5.04	4.1	3.98	0.68	1.29	0.87	2.85	1.66	0	11	3	9	0	0
ENSG00000205936.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205937.12	43.91	27.35	43.47	35.85	42.73	34.16	32.3	18.71	21.26	11.48	181	465	521	532.96	71	74
ENSG00000205940.8	0.26	0.14	0	0	0	0.17	0	0.57	0	0	1.01	2.01	0	943.61	19.35	4.93
ENSG00000205944.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205946.1	0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205955.4	0	0.08	0	0.4	0	0.17	0	0	0	0	0	0	1.01	10.21	0	0
ENSG00000205959.4	0.08	0.46	0.28	0.27	0	0.17	0.13	0.19	0.2	0	0	1	0	0	0	0
ENSG00000205971.3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ENSG00000205976.4	0	0	0	0	0	0	0	0	0	0	0	13.14	10.06	0	0	0
ENSG00000205978.6	3.44	1.69	2.86	1.15	0.63	0.09	1.68	0.3	0.1	0.16	2	14	4	11	0	2
ENSG00000205981.8	48.22	77.27	109.33	54.31	35.69	31.34	52.81	46.83	67.72	50.96	80.77	172	172.29	200.43	25.26	29
ENSG00000205989.1	0	2.48	4.43	0	0	0	0	0	0	0	0	0	0.5	0.81	0	0
ENSG00000206013.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206014.7	0	0	0.74	0.71	0	0	0.26	0	0	0	0	0	0	7.3	0	0
ENSG00000206026.7	0	0.15	0.12	0	0	0	0	1.09	0	0	0	0	0	0	0	0
ENSG00000206028.1	0.59	0	0	0	0	0	0.13	0	0	0	0	0	1.23	0	0	0
ENSG00000206034.1	0	0	4.43	0	0	0	0	0	0	0	0	0	0.5	0.81	0	0
ENSG00000206042.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206043.6	0	0.03	0.06	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000206047.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206052.11	0.06	0.47	0.38	0.6	1.58	0.48	0.82	0.51	0.51	2.87	237	523	673	190	11	31
ENSG00000206053.13	0.22	0.62	1.14	2.33	3.45	2.51	2.58	2.59	5.99	4.64	4	6	2	73	0	0
ENSG00000206062.4	0	0.57	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000206066.3	0	0	0	0	0	0	0	0	0	0	0	2.25	6	0	0	0
ENSG00000206069.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206072.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206073.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206075.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206077.11	1.87	2.07	2.05	1.69	0	0.2	0.08	0.32	4.43	1.12	9	55.27	41.93	25	1.41	1
ENSG00000206090.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206102.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206104.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206105.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206106.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206107.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206113.10	0	1.16	0.11	0	0	0	0	0	0	0	0	0	11	1	0	0
ENSG00000206120.11	1.15	0	1.11	1.8	0	0	0.09	0.71	1.89	0.38	0	35	44	0	0	0
ENSG00000206127.10	1.97	3.38	0.4	1.18	3.78	1.07	1.67	0.28	1.07	0	0	0	0	0	0	0
ENSG00000206129.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206140.11	0	0.13	0	0.22	5.29	0.28	1.28	0	0.06	0	6.47	59.13	61.39	43	5.65	3.23
ENSG00000206142.9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000206144.5	0	0	0	0.14	0	0	0	0	0	0	0	9	0	0	0	0
ENSG00000206145.8	0	0	0	0	0	0	0	0	1.2	0	5	8	22.65	2	19	0
ENSG00000206147.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206149.10	29.02	42.93	59.61	41.12	35.38	7.58	15.83	6.69	16.11	12.73	31.92	66.22	91.92	82.26	13.37	9.06
ENSG00000206150.4	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206159.11	0.51	0	0	0	0	0	0	2.56	0	1.99	0	0	1	0	0	0
ENSG00000206168.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206172.8	0.83	0	0	0	0	0	0	0	0	0	12.62	15.15	173.62	1.77	9.48	11.36
ENSG00000206177.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206178.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000206181.5	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0
ENSG00000206187.4	0	0	0	0	0	0	0	0.67	0	0	0	0	3	0	0	1
ENSG00000206190.11	0.16	0	0.04	0.04	0	0.05	0	0	0	0	0	0	0	1	0	0
ENSG00000206192.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206195.11	0	0	0.14	0.57	19.01	3.09	2.08	1.72	1.81	3.03	0	0	0	0	0	0
ENSG00000206199.10	1.23	0.5	0.92	0.45	1.55	3.06	2.7	0	2.08	0.67	0	0	0	1.15	0	0
ENSG00000206203.5	0.23	0	0	0.05	0	0	0	0	0.1	0	0	0	0	0	0	0
ENSG00000206228.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206249.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206260.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206262.9	0	0	0	0	0	0	0	0	0.04	0	0	2	0	0	0	0
ENSG00000206337.11	2.06	1.35	4.72	4.26	9.77	21.06	17.89	5.31	0.13	1.48	0	0	1	38	6	0
ENSG00000206341.7	0	0.69	0	0.31	0	0	0	0	0	0	0.92	0	2.21	0	0	0
ENSG00000206344.7	1.86	2.3	4.04	2.66	2.17	2.16	0.6	0	1.57	0	0	0	5	5	0	0
ENSG00000206356.5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000206384.10	0	0.18	0.07	0.19	0.22	0.16	0.05	0	0.22	0.39	1	3	0	0	0	0
ENSG00000206417.8	0.35	0.54	2.07	0	0	1.22	0.28	0	1.11	0	14	61	51	9	41	0
ENSG00000206418.4	26.18	43.36	50.67	49.24	88.75	27.8	34.23	17.57	12.62	15.16	583	1667	1176	158.7	179	97
ENSG00000206422.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206432.4	0	0.06	0.08	0.08	0	0.02	0.08	0.87	0.18	4.29	104.73	306.87	449.31	318	31.42	17
ENSG00000206448.3	0	0.49	0	0	3.07	0.54	0	0	2	0	0	0	0	0	0	0
ENSG00000206474.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206503.13	100.13	72.52	106.15	29.09	36.49	80.66	71.99	29.81	15.75	23.23	110.01	208.78	116.49	353.8	82.68	209.07
ENSG00000206527.10	23	23.13	27.54	16.87	11.91	13.4	10.36	14.62	23.85	23.4	11	60	31	263	45	12
ENSG00000206530.11	5.8	4.7	6.12	9.63	5.53	2.45	3.58	1.51	2	1.79	3	0	25	15.48	9	0
ENSG00000206531.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206532.2	0.41	2	4.59	2.66	0	0	0	0	2.97	3.24	0	0	7	0	0	0
ENSG00000206535.8	0.3	1.76	5.8	2.42	1.13	0.31	0.79	1.02	1.72	1.47	18	13	8	35	0	2
ENSG00000206536.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206538.9	0	0	0	0	0	0	0	0	0	0	35	47	17	115	0	8
ENSG00000206549.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206552.4	0.13	0	0.15	0.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206557.6	0	0	0	0	0	0	0	0.13	0	0.19	2	43	0	1	0	0
ENSG00000206559.8	1.37	1.89	5.28	4.32	0.3	0.05	0.41	2.09	1.26	7.67	1	4.09	1.66	16.61	16	1
ENSG00000206560.11	8.79	10.99	7.23	22.01	13.94	8.37	5.09	18.88	26.42	20.94	23	108	34	163	23	1
ENSG00000206561.13	0.88	0.25	1.23	1.55	0.68	0.13	0	0.22	0.19	1.19	3	11.65	2.43	1	17	0
ENSG00000206562.11	9.19	5.09	7.99	11.13	2.5	2	0.89	1.28	7.55	17.24	1	35	16	50	1	10
ENSG00000206567.10	2.55	3.89	2.9	1.78	0.23	0.21	0.08	0	0	0.6	4	21.4	7	6.84	2.37	3
ENSG00000206573.9	19.93	16.98	33.93	25.27	115.89	30.1	28.69	14.72	21.52	30.23	22.59	67.54	148.11	96.76	30	6
ENSG00000206579.8	1.51	0.29	0.49	0.72	0.05	0.05	0.27	2.56	0.44	7.78	41	114	162	183.11	20	40
ENSG00000206582.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206583.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206585.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22
ENSG00000206587.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206588.1	0	0	0	0	0	0	0	43.71	0	0	0	0	0	0	0	0.22
ENSG00000206589.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206592.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206593.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206595.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206596.1	0	0	0	0	0	0	0	43.71	0	0	0	0	0	0	0	0.22
ENSG00000206597.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206598.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206600.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206601.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206602.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206603.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206604.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206605.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206606.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206609.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206611.1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000206612.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206613.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206614.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206615.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206616.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206617.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206618.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206620.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206621.1	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32	2.14	0
ENSG00000206622.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206623.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206624.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0
ENSG00000206625.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206627.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206629.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000206630.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206631.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206633.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000206634.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206636.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206637.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206638.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206639.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206640.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206641.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206644.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206646.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206647.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206649.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206650.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206651.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206652.1	0	0	0	0	0	0	0	43.71	0	0	0	0	0	0	0	0.22
ENSG00000206654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206656.1	0	0	0	0	0	0	0	0	0	0	0	1.52	1.02	1.98	0.74	0
ENSG00000206658.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206659.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206660.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206661.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206662.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206665.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206669.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206671.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206672.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206674.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000206675.1	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0
ENSG00000206676.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206677.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206678.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000206679.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206680.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206681.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206682.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206684.1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
ENSG00000206685.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206686.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206687.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206688.1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0
ENSG00000206690.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206692.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206693.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206695.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206698.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206699.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206700.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000206701.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206702.1	0	0	0	0	0	0	0	349.67	0	0	0	0	0	0	0	0
ENSG00000206703.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206704.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206705.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206706.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206708.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206709.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206710.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206711.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206712.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206713.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206714.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206715.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206716.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206717.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206718.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206719.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206721.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206722.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206723.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206724.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206726.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206727.1	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0
ENSG00000206728.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000206729.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206730.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206731.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206732.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206734.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206737.1	0	0	0	0	0	0	0	43.71	0	0	0	0	0	0	0	0.22
ENSG00000206738.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206739.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000206741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206744.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206746.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206749.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87	1
ENSG00000206751.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000206752.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206754.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206755.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206756.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206758.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206759.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206760.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206762.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000206763.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000206764.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206765.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206766.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206767.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206768.1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
ENSG00000206769.1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000206770.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206772.1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000206774.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206776.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206777.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206778.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206779.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206780.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
